Date,Open,High,Low,Close,Adj Close,Volume
2018-06-28,351.5,352.5,344.5,345.0,345.0,143973
2018-06-29,345.75,355.5,345.5,350.25,350.25,19392
2018-07-02,352.25,352.25,337.0,337.5,337.5,7669
2018-07-03,340.25,345.25,339.25,342.75,342.75,0
2018-07-05,345.5,348.75,342.25,343.5,343.5,3302
2018-07-06,342.0,352.25,342.0,351.75,351.75,3068
2018-07-09,346.0,348.5,343.25,345.75,345.75,3259
2018-07-10,344.25,344.75,336.25,339.75,339.75,2735
2018-07-11,336.0,337.0,331.25,331.25,331.25,1533
2018-07-12,332.25,340.75,329.75,336.5,336.5,533
2018-07-13,332.25,332.5,330.25,330.25,330.25,109316
2018-07-16,340.0,345.75,338.75,341.75,341.75,95293
2018-07-17,345.0,348.75,344.25,346.25,346.25,100115
2018-07-18,346.25,349.0,346.0,347.25,347.25,81867
2018-07-19,347.0,352.0,345.0,351.25,351.25,81407
2018-07-20,351.25,355.75,349.75,355.25,355.25,69609
2018-07-23,356.0,358.5,354.5,357.25,357.25,75399
2018-07-24,355.25,356.5,351.5,352.0,352.0,105606
2018-07-25,352.25,360.0,352.0,359.25,359.25,121593
2018-07-26,361.0,365.75,360.25,361.5,361.5,146376
2018-07-27,361.0,363.75,359.5,362.0,362.0,133494
2018-07-30,364.0,369.25,363.5,367.25,367.25,127462
2018-07-31,367.0,374.25,366.25,372.25,372.25,141808
2018-08-01,372.0,373.0,364.0,365.0,365.0,120054
2018-08-02,365.0,372.75,364.75,366.75,366.75,161081
2018-08-03,366.75,371.25,364.75,369.75,369.75,77985
2018-08-06,370.0,371.75,368.25,371.0,371.0,80946
2018-08-07,371.0,373.25,368.75,370.75,370.75,167092
2018-08-08,370.5,373.75,370.0,371.25,371.25,123366
2018-08-09,371.0,372.75,366.5,369.25,369.25,148239
2018-08-10,368.5,369.75,357.0,357.75,357.75,182404
2018-08-13,357.5,358.0,352.25,356.5,356.5,178694
2018-08-14,356.5,363.0,356.5,362.25,362.25,101207
2018-08-15,362.25,363.5,359.0,361.5,361.5,102535
2018-08-16,361.5,367.5,360.5,365.25,365.25,79361
2018-08-17,365.0,367.75,361.75,364.25,364.25,82450
2018-08-20,365.25,366.0,359.5,362.0,362.0,88310
2018-08-21,362.75,363.75,358.5,359.75,359.75,98587
2018-08-22,359.25,359.25,352.25,352.5,352.5,102514
2018-08-23,353.0,355.0,346.25,346.75,346.75,144613
2018-08-24,346.5,350.0,346.25,348.5,348.5,124751
2018-08-27,348.5,348.75,343.0,346.75,346.75,139285
2018-08-28,345.75,347.75,340.75,341.0,341.0,143197
2018-08-29,341.0,344.0,340.25,341.25,341.25,113195
2018-08-30,341.5,344.0,340.5,341.0,341.0,122613
2018-08-31,341.0,352.0,340.75,351.0,351.0,0
2018-09-04,351.5,355.25,347.25,354.5,354.5,4870
2018-09-05,356.0,356.0,351.0,351.75,351.75,3514
2018-09-06,353.5,354.5,350.75,353.5,353.5,2161
2018-09-07,352.75,355.75,351.0,354.25,354.25,692
2018-09-10,353.25,356.0,353.0,355.5,355.5,1263
2018-09-11,357.25,357.25,354.75,355.25,355.25,287
2018-09-12,354.25,354.5,340.5,341.5,341.5,407
2018-09-13,344.5,344.5,336.25,336.25,336.25,131
2018-09-14,338.5,338.75,337.0,337.0,337.0,138241
2018-09-17,351.0,351.75,347.75,348.0,348.0,145271
2018-09-18,348.0,348.75,342.5,343.25,343.25,199080
2018-09-19,343.0,346.75,343.0,345.75,345.75,151074
2018-09-20,345.25,356.25,344.75,352.5,352.5,266804
2018-09-21,352.5,357.75,352.25,357.25,357.25,156113
2018-09-24,357.25,362.0,355.75,360.5,360.5,148370
2018-09-25,360.25,364.25,357.5,363.75,363.75,187874
2018-09-26,363.5,364.75,361.25,363.0,363.0,137900
2018-09-27,363.0,365.75,361.25,364.75,364.75,113909
2018-09-28,364.5,366.75,354.5,356.25,356.25,237213
2018-10-01,356.75,366.5,356.5,365.75,365.75,214369
2018-10-02,365.0,369.0,363.25,367.5,367.5,206146
2018-10-03,367.75,369.0,364.5,364.75,364.75,139279
2018-10-04,364.75,368.5,364.75,367.5,367.5,130828
